1   2   3   4   5   6   7   8   9
                                 
2   9   1   3   4   5   6   7   8
                                 
3   1   8   9   2   4   5   6   7
                                 
4   3   7   5   8   9   1   2   6
                                 
5   4   2   6   7   8   9   3   1
                                 
6   5   4   7   9   3   8   1   2
                                 
7   6   5   8   3   1   2   9   4
                                 
8   7   9   1   6   2   3   4   5
                                 
9   8   6   2   1   7   4   5   3
